text,label
"What kind of stupid garbage is this? It broke on the first day, and the support is a total joke. المنتج دا قذر لأبعد الحدود، ريحته مقرفة وشكله يجيب الغثيان، محدش يشتريه. and no refund at all.",1
إزاي منتج بالسوء ده يتباع؟ كله نصب واحتيال، وكأنك بتشتري زبالة بسعر ذهب. إزاي منتج بالسوء ده يتباع؟ كله نصب واحتيال، وكأنك بتشتري زبالة بسعر ذهب. and no refund at all.,1
"Experience unmatched comfort with our orthopedic shoes, recommended by health professionals worldwide. تم تصنيع هذا المنتج باستخدام أحدث تقنيات العزل الحراري لضمان الحفاظ على درجة الحرارة لأطول فترة ممكنة. with additional features.",0
"المنتج دا قذر لأبعد الحدود، ريحته مقرفة وشكله يجيب الغثيان، محدش يشتريه. What kind of stupid garbage is this? It broke on the first day, and the support is a total joke. and no refund at all.",1
تم تصنيع هذا المنتج باستخدام أحدث تقنيات العزل الحراري لضمان الحفاظ على درجة الحرارة لأطول فترة ممكنة. تم تصنيع هذا المنتج باستخدام أحدث تقنيات العزل الحراري لضمان الحفاظ على درجة الحرارة لأطول فترة ممكنة. with additional features.,0
"Experience unmatched comfort with our orthopedic shoes, recommended by health professionals worldwide. يُعتبر هذا الجهاز من أفضل الابتكارات الحديثة التي تجمع بين الكفاءة والتصميم الأنيق. with additional features.",0
المنتج دا قذر لأبعد الحدود، ريحته مقرفة وشكله يجيب الغثيان، محدش يشتريه. Total scam — I feel like I got robbed. Worthless junk sold by lying thieves. and no refund at all.,1
"Experience unmatched comfort with our orthopedic shoes, recommended by health professionals worldwide. تم تصنيع هذا المنتج باستخدام أحدث تقنيات العزل الحراري لضمان الحفاظ على درجة الحرارة لأطول فترة ممكنة. with additional features.",0
"إزاي منتج بالسوء ده يتباع؟ كله نصب واحتيال، وكأنك بتشتري زبالة بسعر ذهب. What kind of stupid garbage is this? It broke on the first day, and the support is a total joke. and no refund at all.",1
يُعتبر هذا الجهاز من أفضل الابتكارات الحديثة التي تجمع بين الكفاءة والتصميم الأنيق. Our eco-friendly kitchen appliances help reduce energy consumption without compromising on performance. with additional features.,0
يُعتبر هذا الجهاز من أفضل الابتكارات الحديثة التي تجمع بين الكفاءة والتصميم الأنيق. تم تصنيع هذا المنتج باستخدام أحدث تقنيات العزل الحراري لضمان الحفاظ على درجة الحرارة لأطول فترة ممكنة. with additional features.,0
"What kind of stupid garbage is this? It broke on the first day, and the support is a total joke. I’ve never seen such a piece of crap in my life — avoid it unless you want to waste your money on trash. and no refund at all.",1
تم تصنيع هذا المنتج باستخدام أحدث تقنيات العزل الحراري لضمان الحفاظ على درجة الحرارة لأطول فترة ممكنة. يُعتبر هذا الجهاز من أفضل الابتكارات الحديثة التي تجمع بين الكفاءة والتصميم الأنيق. with additional features.,0
يُعتبر هذا الجهاز من أفضل الابتكارات الحديثة التي تجمع بين الكفاءة والتصميم الأنيق. تم تصنيع هذا المنتج باستخدام أحدث تقنيات العزل الحراري لضمان الحفاظ على درجة الحرارة لأطول فترة ممكنة. with additional features.,0
"يُعتبر هذا الجهاز من أفضل الابتكارات الحديثة التي تجمع بين الكفاءة والتصميم الأنيق. This high-quality leather wallet is both stylish and durable, making it an ideal gift for friends and family. with additional features.",0
"يُعتبر هذا الجهاز من أفضل الابتكارات الحديثة التي تجمع بين الكفاءة والتصميم الأنيق. Experience unmatched comfort with our orthopedic shoes, recommended by health professionals worldwide. with additional features.",0
"المنتج دا قذر لأبعد الحدود، ريحته مقرفة وشكله يجيب الغثيان، محدش يشتريه. What kind of stupid garbage is this? It broke on the first day, and the support is a total joke. and no refund at all.",1
"What kind of stupid garbage is this? It broke on the first day, and the support is a total joke. إزاي منتج بالسوء ده يتباع؟ كله نصب واحتيال، وكأنك بتشتري زبالة بسعر ذهب. and no refund at all.",1
I’ve never seen such a piece of crap in my life — avoid it unless you want to waste your money on trash. إزاي منتج بالسوء ده يتباع؟ كله نصب واحتيال، وكأنك بتشتري زبالة بسعر ذهب. and no refund at all.,1
المنتج دا قذر لأبعد الحدود، ريحته مقرفة وشكله يجيب الغثيان، محدش يشتريه. إزاي منتج بالسوء ده يتباع؟ كله نصب واحتيال، وكأنك بتشتري زبالة بسعر ذهب. and no refund at all.,1
"Experience unmatched comfort with our orthopedic shoes, recommended by health professionals worldwide. يُعتبر هذا الجهاز من أفضل الابتكارات الحديثة التي تجمع بين الكفاءة والتصميم الأنيق. with additional features.",0
"This high-quality leather wallet is both stylish and durable, making it an ideal gift for friends and family. تم تصنيع هذا المنتج باستخدام أحدث تقنيات العزل الحراري لضمان الحفاظ على درجة الحرارة لأطول فترة ممكنة. with additional features.",0
"I’ve never seen such a piece of crap in my life — avoid it unless you want to waste your money on trash. What kind of stupid garbage is this? It broke on the first day, and the support is a total joke. and no refund at all.",1
